card_id,disp_id,type,issued,issued_parsed
122,667,junior,970703 00:00:00,1997-07-03
123,679,classic,980612 00:00:00,1998-06-12
124,688,classic,971010 00:00:00,1997-10-10
125,694,gold,981226 00:00:00,1998-12-26
126,707,classic,980523 00:00:00,1998-05-23
127,714,classic,960523 00:00:00,1996-05-23
128,716,classic,980819 00:00:00,1998-08-19
129,719,classic,981105 00:00:00,1998-11-05
130,722,classic,971229 00:00:00,1997-12-29
131,725,classic,981208 00:00:00,1998-12-08
132,731,junior,980226 00:00:00,1998-02-26
133,742,classic,970616 00:00:00,1997-06-16
134,769,classic,980907 00:00:00,1998-09-07
136,778,classic,950728 00:00:00,1995-07-28
137,786,junior,970110 00:00:00,1997-01-10
138,791,classic,981102 00:00:00,1998-11-02
139,797,classic,970714 00:00:00,1997-07-14
140,798,classic,970822 00:00:00,1997-08-22
141,808,classic,980915 00:00:00,1998-09-15
142,810,classic,980701 00:00:00,1998-07-01
143,816,classic,980615 00:00:00,1998-06-15
145,819,classic,970617 00:00:00,1997-06-17
146,822,classic,980723 00:00:00,1998-07-23
147,826,junior,981213 00:00:00,1998-12-13
148,834,classic,981122 00:00:00,1998-11-22
149,858,classic,980107 00:00:00,1998-01-07
150,859,classic,960330 00:00:00,1996-03-30
151,861,classic,980916 00:00:00,1998-09-16
152,876,classic,960916 00:00:00,1996-09-16
153,886,gold,971019 00:00:00,1997-10-19
154,887,classic,971228 00:00:00,1997-12-28
155,900,junior,970517 00:00:00,1997-05-17
156,906,junior,980407 00:00:00,1998-04-07
157,907,classic,960424 00:00:00,1996-04-24
158,928,gold,981025 00:00:00,1998-10-25
159,946,classic,950501 00:00:00,1995-05-01
160,954,classic,980617 00:00:00,1998-06-17
161,963,classic,980525 00:00:00,1998-05-25
162,967,junior,961223 00:00:00,1996-12-23
163,984,classic,960918 00:00:00,1996-09-18
164,992,classic,981129 00:00:00,1998-11-29
165,996,junior,980204 00:00:00,1998-02-04
166,999,classic,950305 00:00:00,1995-03-05
167,1011,classic,950915 00:00:00,1995-09-15
168,1018,classic,950124 00:00:00,1995-01-24
169,1019,classic,980810 00:00:00,1998-08-10
170,1020,classic,980416 00:00:00,1998-04-16
171,1027,classic,970305 00:00:00,1997-03-05
172,1030,classic,981214 00:00:00,1998-12-14
173,1031,classic,980621 00:00:00,1998-06-21
174,1039,junior,941204 00:00:00,1994-12-04
175,1040,classic,970103 00:00:00,1997-01-03
176,1049,classic,980425 00:00:00,1998-04-25
177,1056,classic,981119 00:00:00,1998-11-19
178,1057,classic,981121 00:00:00,1998-11-21
179,1059,classic,980810 00:00:00,1998-08-10
180,1062,classic,980929 00:00:00,1998-09-29
181,1066,classic,940819 00:00:00,1994-08-19
182,1067,gold,970831 00:00:00,1997-08-31
183,1080,classic,960508 00:00:00,1996-05-08
184,1089,gold,970603 00:00:00,1997-06-03
185,1098,classic,970907 00:00:00,1997-09-07
186,1133,gold,980512 00:00:00,1998-05-12
187,1140,classic,970907 00:00:00,1997-09-07
188,1146,classic,940619 00:00:00,1994-06-19
189,1157,classic,970219 00:00:00,1997-02-19
190,1165,classic,970923 00:00:00,1997-09-23
191,1168,junior,980402 00:00:00,1998-04-02
192,1169,classic,980608 00:00:00,1998-06-08
193,1179,gold,980921 00:00:00,1998-09-21
194,1182,classic,970113 00:00:00,1997-01-13
195,1194,classic,970203 00:00:00,1997-02-03
196,1197,classic,981222 00:00:00,1998-12-22
197,1202,junior,961021 00:00:00,1996-10-21
198,1211,junior,980318 00:00:00,1998-03-18
199,1213,classic,970207 00:00:00,1997-02-07
200,1220,gold,971209 00:00:00,1997-12-09
201,1223,classic,981208 00:00:00,1998-12-08
202,1228,classic,960204 00:00:00,1996-02-04
203,1231,classic,980916 00:00:00,1998-09-16
204,1239,junior,960530 00:00:00,1996-05-30
205,1242,classic,981116 00:00:00,1998-11-16
206,1243,classic,970922 00:00:00,1997-09-22
207,1244,classic,980525 00:00:00,1998-05-25
208,1246,gold,950208 00:00:00,1995-02-08
209,1251,classic,980731 00:00:00,1998-07-31
210,1253,classic,970216 00:00:00,1997-02-16
211,1271,classic,970610 00:00:00,1997-06-10
212,1280,classic,980524 00:00:00,1998-05-24
213,1289,gold,970611 00:00:00,1997-06-11
214,1292,classic,980124 00:00:00,1998-01-24
215,1296,classic,980302 00:00:00,1998-03-02
216,1310,junior,960424 00:00:00,1996-04-24
217,1316,classic,981109 00:00:00,1998-11-09
218,1322,classic,980518 00:00:00,1998-05-18
219,1329,classic,981204 00:00:00,1998-12-04
220,1333,classic,961013 00:00:00,1996-10-13
221,1339,classic,980810 00:00:00,1998-08-10
222,1345,classic,970619 00:00:00,1997-06-19
223,1353,classic,950418 00:00:00,1995-04-18
225,1359,classic,980303 00:00:00,1998-03-03
226,1378,classic,970418 00:00:00,1997-04-18
227,1380,classic,960810 00:00:00,1996-08-10
228,1382,junior,980315 00:00:00,1998-03-15
229,1384,classic,960405 00:00:00,1996-04-05
230,1388,gold,981025 00:00:00,1998-10-25
231,1390,junior,980929 00:00:00,1998-09-29
232,1396,classic,970501 00:00:00,1997-05-01
233,1418,classic,980707 00:00:00,1998-07-07
234,1424,classic,970929 00:00:00,1997-09-29
235,1438,classic,980502 00:00:00,1998-05-02
236,1440,junior,980129 00:00:00,1998-01-29
237,1445,classic,971125 00:00:00,1997-11-25
238,1452,gold,970817 00:00:00,1997-08-17
239,1453,gold,980824 00:00:00,1998-08-24
240,1459,classic,981223 00:00:00,1998-12-23
241,1461,classic,970620 00:00:00,1997-06-20
242,1473,classic,980924 00:00:00,1998-09-24
243,1478,classic,961213 00:00:00,1996-12-13
244,1480,classic,980316 00:00:00,1998-03-16
245,1483,classic,981008 00:00:00,1998-10-08
246,1492,classic,980208 00:00:00,1998-02-08
247,1500,junior,971008 00:00:00,1997-10-08
248,1512,classic,980301 00:00:00,1998-03-01
249,1517,classic,980206 00:00:00,1998-02-06
250,1522,classic,980630 00:00:00,1998-06-30
251,1525,classic,971023 00:00:00,1997-10-23
252,1529,classic,970902 00:00:00,1997-09-02
253,1536,gold,981114 00:00:00,1998-11-14
254,1578,classic,971111 00:00:00,1997-11-11
255,1579,gold,981001 00:00:00,1998-10-01
256,1583,classic,970526 00:00:00,1997-05-26
257,1589,classic,981120 00:00:00,1998-11-20
258,1607,classic,970126 00:00:00,1997-01-26
259,1610,classic,970905 00:00:00,1997-09-05
260,1616,classic,980705 00:00:00,1998-07-05
261,1629,gold,951109 00:00:00,1995-11-09
262,1647,junior,950824 00:00:00,1995-08-24
263,1668,gold,980417 00:00:00,1998-04-17
264,1669,classic,981007 00:00:00,1998-10-07
265,1680,classic,960628 00:00:00,1996-06-28
266,1690,classic,970304 00:00:00,1997-03-04
267,1691,junior,960309 00:00:00,1996-03-09
268,1707,gold,971211 00:00:00,1997-12-11
269,1718,gold,980322 00:00:00,1998-03-22
270,1736,junior,970617 00:00:00,1997-06-17
272,1754,junior,961028 00:00:00,1996-10-28
273,1758,classic,971107 00:00:00,1997-11-07
274,1759,classic,980121 00:00:00,1998-01-21
275,1762,classic,970520 00:00:00,1997-05-20
276,1765,classic,980307 00:00:00,1998-03-07
277,1777,gold,980712 00:00:00,1998-07-12
278,1779,classic,960815 00:00:00,1996-08-15
279,1791,classic,970921 00:00:00,1997-09-21
280,1793,classic,970622 00:00:00,1997-06-22
281,1795,classic,971222 00:00:00,1997-12-22
282,1799,gold,971213 00:00:00,1997-12-13
283,1800,classic,980225 00:00:00,1998-02-25
284,1807,classic,980507 00:00:00,1998-05-07
285,1811,gold,980910 00:00:00,1998-09-10
286,1812,gold,960421 00:00:00,1996-04-21
287,1819,junior,970628 00:00:00,1997-06-28
288,1826,classic,981010 00:00:00,1998-10-10
289,1831,junior,960408 00:00:00,1996-04-08
290,1833,classic,980324 00:00:00,1998-03-24
291,1836,classic,980929 00:00:00,1998-09-29
292,1842,gold,970118 00:00:00,1997-01-18
293,1850,classic,970217 00:00:00,1997-02-17
294,1861,classic,961204 00:00:00,1996-12-04
295,1864,classic,981026 00:00:00,1998-10-26
296,1876,gold,951113 00:00:00,1995-11-13
297,1883,classic,970615 00:00:00,1997-06-15
298,1885,classic,970117 00:00:00,1997-01-17
299,1886,classic,981025 00:00:00,1998-10-25
300,1890,classic,961120 00:00:00,1996-11-20
301,1899,classic,980707 00:00:00,1998-07-07
302,1900,classic,960331 00:00:00,1996-03-31
303,1912,classic,960801 00:00:00,1996-08-01
304,1913,classic,980106 00:00:00,1998-01-06
305,1914,classic,970523 00:00:00,1997-05-23
306,1929,classic,981211 00:00:00,1998-12-11
307,1930,gold,980905 00:00:00,1998-09-05
308,1938,classic,980730 00:00:00,1998-07-30
309,1946,classic,940919 00:00:00,1994-09-19
310,1947,junior,981223 00:00:00,1998-12-23
311,1954,classic,970701 00:00:00,1997-07-01
312,1971,classic,960608 00:00:00,1996-06-08
313,1980,classic,960617 00:00:00,1996-06-17
314,1999,junior,950127 00:00:00,1995-01-27
315,2005,junior,980324 00:00:00,1998-03-24
316,2013,classic,970617 00:00:00,1997-06-17
317,2015,classic,980610 00:00:00,1998-06-10
319,2038,junior,980802 00:00:00,1998-08-02
320,2045,classic,960711 00:00:00,1996-07-11
321,2058,gold,980816 00:00:00,1998-08-16
322,2063,classic,981228 00:00:00,1998-12-28
323,2065,junior,980724 00:00:00,1998-07-24
324,2074,classic,970219 00:00:00,1997-02-19
325,2102,classic,970112 00:00:00,1997-01-12
326,2104,classic,971214 00:00:00,1997-12-14
327,2117,classic,971003 00:00:00,1997-10-03
328,2121,junior,980912 00:00:00,1998-09-12
329,2122,gold,971119 00:00:00,1997-11-19
330,2124,classic,980411 00:00:00,1998-04-11
331,2125,gold,980501 00:00:00,1998-05-01
332,2126,classic,980619 00:00:00,1998-06-19
333,2128,classic,981104 00:00:00,1998-11-04
334,2133,classic,980313 00:00:00,1998-03-13
335,2137,classic,980925 00:00:00,1998-09-25
336,2138,junior,981009 00:00:00,1998-10-09
337,2141,classic,960101 00:00:00,1996-01-01
338,2146,classic,980416 00:00:00,1998-04-16
339,2154,classic,981019 00:00:00,1998-10-19
340,2155,classic,980125 00:00:00,1998-01-25
341,2156,gold,981206 00:00:00,1998-12-06
342,2157,classic,950927 00:00:00,1995-09-27
343,2164,classic,970921 00:00:00,1997-09-21
344,2168,classic,980727 00:00:00,1998-07-27
345,2175,classic,981107 00:00:00,1998-11-07
346,2177,classic,980814 00:00:00,1998-08-14
347,2184,classic,970211 00:00:00,1997-02-11
348,2203,classic,980202 00:00:00,1998-02-02
349,2214,classic,970526 00:00:00,1997-05-26
350,2226,classic,970420 00:00:00,1997-04-20
351,2232,classic,981101 00:00:00,1998-11-01
352,2235,classic,980911 00:00:00,1998-09-11
353,2259,classic,970611 00:00:00,1997-06-11
354,2265,gold,980630 00:00:00,1998-06-30
355,2267,classic,970828 00:00:00,1997-08-28
356,2268,classic,970913 00:00:00,1997-09-13
357,2277,junior,980929 00:00:00,1998-09-29
358,2287,junior,980523 00:00:00,1998-05-23
359,2299,classic,971029 00:00:00,1997-10-29
360,2308,classic,980224 00:00:00,1998-02-24
361,2312,classic,980923 00:00:00,1998-09-23
362,2320,gold,980621 00:00:00,1998-06-21
363,2324,junior,961211 00:00:00,1996-12-11
364,2329,classic,960229 00:00:00,1996-02-29
365,2332,classic,980623 00:00:00,1998-06-23
366,2335,classic,981009 00:00:00,1998-10-09
367,2343,classic,980827 00:00:00,1998-08-27
368,2361,classic,980110 00:00:00,1998-01-10
369,2363,classic,941108 00:00:00,1994-11-08
370,2374,classic,980403 00:00:00,1998-04-03
371,2388,gold,981213 00:00:00,1998-12-13
372,2395,classic,960331 00:00:00,1996-03-31
373,2401,classic,971118 00:00:00,1997-11-18
374,2423,classic,961108 00:00:00,1996-11-08
375,2425,junior,970517 00:00:00,1997-05-17
376,2428,classic,941110 00:00:00,1994-11-10
377,2429,classic,940303 00:00:00,1994-03-03
378,2430,classic,981211 00:00:00,1998-12-11
379,2431,classic,960112 00:00:00,1996-01-12
380,2434,classic,971215 00:00:00,1997-12-15
381,2440,classic,961027 00:00:00,1996-10-27
382,2445,gold,971122 00:00:00,1997-11-22
383,2469,classic,970730 00:00:00,1997-07-30
384,2475,junior,940915 00:00:00,1994-09-15
385,2476,classic,981012 00:00:00,1998-10-12
386,2478,classic,980814 00:00:00,1998-08-14
387,2481,classic,970418 00:00:00,1997-04-18
388,2488,junior,981126 00:00:00,1998-11-26
389,2489,gold,980919 00:00:00,1998-09-19
390,2490,classic,961014 00:00:00,1996-10-14
391,2493,classic,980224 00:00:00,1998-02-24
392,2496,classic,981122 00:00:00,1998-11-22
393,2498,junior,951203 00:00:00,1995-12-03
394,2501,classic,981005 00:00:00,1998-10-05
395,2502,classic,980824 00:00:00,1998-08-24
396,2508,classic,980726 00:00:00,1998-07-26
397,2513,classic,950624 00:00:00,1995-06-24
398,2522,classic,980214 00:00:00,1998-02-14
399,2527,classic,970522 00:00:00,1997-05-22
400,2529,classic,970406 00:00:00,1997-04-06
401,2532,classic,980119 00:00:00,1998-01-19
402,2536,classic,980903 00:00:00,1998-09-03
403,2538,junior,970712 00:00:00,1997-07-12
404,2540,junior,981112 00:00:00,1998-11-12
405,2542,classic,980831 00:00:00,1998-08-31
406,2548,classic,980816 00:00:00,1998-08-16
407,2555,classic,960711 00:00:00,1996-07-11
408,2560,classic,961210 00:00:00,1996-12-10
409,2562,classic,981116 00:00:00,1998-11-16
410,2569,classic,950720 00:00:00,1995-07-20
411,2572,classic,980715 00:00:00,1998-07-15
412,2585,classic,980509 00:00:00,1998-05-09
413,2592,junior,970720 00:00:00,1997-07-20
414,2606,classic,980926 00:00:00,1998-09-26
415,2609,classic,980525 00:00:00,1998-05-25
416,2616,classic,981001 00:00:00,1998-10-01
417,2619,classic,980330 00:00:00,1998-03-30
418,2623,classic,950414 00:00:00,1995-04-14
419,2626,classic,980228 00:00:00,1998-02-28
421,2644,classic,980427 00:00:00,1998-04-27
422,2650,junior,950711 00:00:00,1995-07-11
423,2657,classic,960219 00:00:00,1996-02-19
424,2659,classic,981106 00:00:00,1998-11-06
425,2662,junior,980904 00:00:00,1998-09-04
426,2686,classic,970509 00:00:00,1997-05-09
427,2688,gold,960125 00:00:00,1996-01-25
428,2698,classic,971013 00:00:00,1997-10-13
429,2709,classic,981105 00:00:00,1998-11-05
430,2713,classic,970526 00:00:00,1997-05-26
431,2715,gold,970912 00:00:00,1997-09-12
433,2724,classic,961212 00:00:00,1996-12-12
434,2739,classic,971230 00:00:00,1997-12-30
435,2740,classic,980715 00:00:00,1998-07-15
436,2759,classic,971009 00:00:00,1997-10-09
437,2762,classic,940601 00:00:00,1994-06-01
438,2768,classic,971030 00:00:00,1997-10-30
439,2779,classic,980723 00:00:00,1998-07-23
440,2782,classic,980707 00:00:00,1998-07-07
441,2785,classic,961105 00:00:00,1996-11-05
442,2796,classic,981226 00:00:00,1998-12-26
443,2808,classic,970629 00:00:00,1997-06-29
444,2815,gold,980403 00:00:00,1998-04-03
445,2820,gold,981119 00:00:00,1998-11-19
446,2841,classic,980604 00:00:00,1998-06-04
447,2845,classic,981007 00:00:00,1998-10-07
448,2864,classic,980429 00:00:00,1998-04-29
449,2865,classic,981028 00:00:00,1998-10-28
450,2880,classic,980707 00:00:00,1998-07-07
451,2888,junior,980416 00:00:00,1998-04-16
452,2910,classic,981219 00:00:00,1998-12-19
453,2911,gold,980712 00:00:00,1998-07-12
454,2921,classic,970801 00:00:00,1997-08-01
455,2924,classic,981113 00:00:00,1998-11-13
456,2929,classic,980516 00:00:00,1998-05-16
457,2948,junior,980516 00:00:00,1998-05-16
458,2951,gold,980514 00:00:00,1998-05-14
459,2958,gold,980211 00:00:00,1998-02-11
460,2971,classic,981005 00:00:00,1998-10-05
461,2977,gold,980821 00:00:00,1998-08-21
462,2978,classic,951230 00:00:00,1995-12-30
463,2982,classic,980226 00:00:00,1998-02-26
464,2984,classic,950221 00:00:00,1995-02-21
465,2995,classic,980515 00:00:00,1998-05-15
466,2998,classic,981125 00:00:00,1998-11-25
467,3019,classic,950605 00:00:00,1995-06-05
468,3023,classic,950130 00:00:00,1995-01-30
469,3026,classic,980607 00:00:00,1998-06-07
470,3036,classic,960902 00:00:00,1996-09-02
471,3037,classic,970609 00:00:00,1997-06-09
472,3056,classic,971124 00:00:00,1997-11-24
473,3063,classic,981222 00:00:00,1998-12-22
474,3066,junior,980124 00:00:00,1998-01-24
475,3075,gold,980531 00:00:00,1998-05-31
476,3079,classic,970706 00:00:00,1997-07-06
477,3082,junior,950116 00:00:00,1995-01-16
478,3084,classic,941009 00:00:00,1994-10-09
479,3085,classic,981216 00:00:00,1998-12-16
480,3092,classic,980901 00:00:00,1998-09-01
481,3102,junior,980106 00:00:00,1998-01-06
482,3104,junior,980113 00:00:00,1998-01-13
483,3115,classic,941124 00:00:00,1994-11-24
484,3116,classic,950704 00:00:00,1995-07-04
485,3124,classic,980708 00:00:00,1998-07-08
486,3128,gold,981225 00:00:00,1998-12-25
487,3130,classic,981118 00:00:00,1998-11-18
488,3134,gold,981020 00:00:00,1998-10-20
489,3135,classic,981129 00:00:00,1998-11-29
490,3136,gold,970207 00:00:00,1997-02-07
491,3151,classic,970821 00:00:00,1997-08-21
492,3166,classic,980409 00:00:00,1998-04-09
493,3167,classic,971130 00:00:00,1997-11-30
494,3173,classic,970610 00:00:00,1997-06-10
495,3181,classic,970902 00:00:00,1997-09-02
496,3183,junior,980721 00:00:00,1998-07-21
497,3184,classic,950303 00:00:00,1995-03-03
498,3186,classic,980418 00:00:00,1998-04-18
499,3187,classic,960403 00:00:00,1996-04-03
500,3192,classic,981126 00:00:00,1998-11-26
501,3197,classic,950709 00:00:00,1995-07-09
502,3201,classic,970822 00:00:00,1997-08-22
503,3225,classic,950308 00:00:00,1995-03-08
504,3230,junior,951106 00:00:00,1995-11-06
505,3233,junior,981009 00:00:00,1998-10-09
506,3236,gold,981219 00:00:00,1998-12-19
507,3245,classic,971211 00:00:00,1997-12-11
508,3249,classic,980803 00:00:00,1998-08-03
509,3253,gold,980730 00:00:00,1998-07-30
510,3256,classic,980413 00:00:00,1998-04-13
511,3257,junior,970806 00:00:00,1997-08-06
512,3259,classic,970724 00:00:00,1997-07-24
513,3260,classic,970315 00:00:00,1997-03-15
514,3267,classic,960910 00:00:00,1996-09-10
515,3268,classic,980323 00:00:00,1998-03-23
516,3279,classic,961025 00:00:00,1996-10-25
517,3291,classic,980109 00:00:00,1998-01-09
518,3292,gold,980210 00:00:00,1998-02-10
519,3297,classic,980816 00:00:00,1998-08-16
520,3308,classic,980925 00:00:00,1998-09-25
521,3310,classic,971217 00:00:00,1997-12-17
523,3319,junior,981123 00:00:00,1998-11-23
524,3333,classic,981102 00:00:00,1998-11-02
525,3337,classic,980727 00:00:00,1998-07-27
526,3339,classic,980910 00:00:00,1998-09-10
527,3348,junior,981214 00:00:00,1998-12-14
528,3356,classic,961031 00:00:00,1996-10-31
529,3357,classic,980227 00:00:00,1998-02-27
530,3360,classic,980725 00:00:00,1998-07-25
531,3378,gold,980824 00:00:00,1998-08-24
532,3382,classic,971130 00:00:00,1997-11-30
533,3384,classic,981009 00:00:00,1998-10-09
534,3387,classic,970129 00:00:00,1997-01-29
535,3395,classic,980322 00:00:00,1998-03-22
536,3404,classic,971213 00:00:00,1997-12-13
537,3405,classic,970915 00:00:00,1997-09-15
538,3414,gold,980820 00:00:00,1998-08-20
539,3415,classic,970423 00:00:00,1997-04-23
540,3425,classic,971129 00:00:00,1997-11-29
541,3427,junior,961126 00:00:00,1996-11-26
542,3439,classic,981022 00:00:00,1998-10-22
544,3448,gold,980910 00:00:00,1998-09-10
545,3458,classic,950530 00:00:00,1995-05-30
546,3465,gold,970819 00:00:00,1997-08-19
547,3477,classic,961011 00:00:00,1996-10-11
548,3501,classic,980716 00:00:00,1998-07-16
549,3504,classic,981212 00:00:00,1998-12-12
550,3515,classic,980808 00:00:00,1998-08-08
551,3517,classic,980903 00:00:00,1998-09-03
552,3519,classic,971025 00:00:00,1997-10-25
553,3522,classic,970714 00:00:00,1997-07-14
554,3535,classic,980929 00:00:00,1998-09-29
555,3544,classic,971119 00:00:00,1997-11-19
557,3567,classic,980117 00:00:00,1998-01-17
558,3568,classic,980607 00:00:00,1998-06-07
559,3573,classic,950617 00:00:00,1995-06-17
560,3577,classic,981217 00:00:00,1998-12-17
561,3581,gold,980928 00:00:00,1998-09-28
562,3583,classic,961107 00:00:00,1996-11-07
563,3589,classic,941021 00:00:00,1994-10-21
564,3590,classic,970506 00:00:00,1997-05-06
565,3601,gold,970106 00:00:00,1997-01-06
566,3606,classic,971225 00:00:00,1997-12-25
567,3611,classic,980708 00:00:00,1998-07-08
568,3615,classic,970305 00:00:00,1997-03-05
569,3616,classic,971212 00:00:00,1997-12-12
570,3620,classic,981114 00:00:00,1998-11-14
571,3627,junior,980713 00:00:00,1998-07-13
572,3636,junior,970516 00:00:00,1997-05-16
573,3638,classic,981223 00:00:00,1998-12-23
574,3640,junior,980223 00:00:00,1998-02-23
575,3667,gold,971225 00:00:00,1997-12-25
576,3671,classic,970430 00:00:00,1997-04-30
577,3687,classic,940215 00:00:00,1994-02-15
578,3689,junior,970221 00:00:00,1997-02-21
579,3699,classic,971118 00:00:00,1997-11-18
580,3713,classic,981116 00:00:00,1998-11-16
581,3721,classic,980813 00:00:00,1998-08-13
582,3733,classic,970122 00:00:00,1997-01-22
583,3735,classic,970424 00:00:00,1997-04-24
584,3751,classic,981028 00:00:00,1998-10-28
585,3753,gold,981001 00:00:00,1998-10-01
586,3756,classic,980531 00:00:00,1998-05-31
587,3763,junior,960805 00:00:00,1996-08-05
588,3765,classic,970708 00:00:00,1997-07-08
589,3766,junior,971220 00:00:00,1997-12-20
590,3769,classic,971202 00:00:00,1997-12-02
591,3779,classic,970723 00:00:00,1997-07-23
592,3782,junior,950807 00:00:00,1995-08-07
593,3787,junior,980106 00:00:00,1998-01-06
594,3794,junior,961227 00:00:00,1996-12-27
596,3811,classic,971019 00:00:00,1997-10-19
597,3813,junior,970606 00:00:00,1997-06-06
598,3821,classic,970823 00:00:00,1997-08-23
599,3824,gold,980308 00:00:00,1998-03-08
600,3829,classic,960520 00:00:00,1996-05-20
601,3830,classic,961008 00:00:00,1996-10-08
602,3846,junior,980418 00:00:00,1998-04-18
