loan_id,account_id,date,amount,duration,payments,status,year,avg_balance,min_balance,max_balance,total_transactions,avg_transaction_amount,total_credits,total_withdrawals,credit_withdrawal_ratio,client_id,age,gender,avg_salary,unemployment_rate,has_card,default
5005,176,1997-04-10,27456,12,2288,A,1997,49173.4326007326,800.0,126552.7,273,10587.791208791208,81,192,0.421875,215,59,Male,8678,5.929999828338623,0,0
5015,226,1998-07-12,109344,12,9112,C,1998,49739.83515625,1000.0,80433.2,128,7288.6171875,54,74,0.7297297297297297,272,82,Female,10177,6.630000114440918,1,0
5027,276,1998-12-02,160920,36,4470,C,1998,50151.5078125,700.0,74906.0,64,11339.59375,26,38,0.6842105263157895,333,55,Male,8965,7.079999923706055,1,0
5032,290,1994-11-03,123696,48,2577,A,1994,53489.786122448975,300.0,144053.2,490,8514.738775510205,159,331,0.48036253776435045,352,86,Male,8772,4.690000057220459,0,0
5034,303,1998-05-30,112752,36,3132,C,1998,47778.222413793104,900.0,72230.0,174,5590.614942528736,61,113,0.5398230088495575,370,70,Female,8678,5.929999828338623,1,0
5036,309,1998-11-25,91248,48,1901,C,1998,29898.777358490566,900.0,59725.7,106,7804.594339622641,41,65,0.6307692307692307,376,53,Female,10045,1.4199999570846558,0,0
5039,314,1997-05-03,66840,24,2785,C,1997,39391.86742081447,700.0,109016.3,221,12673.633484162896,73,148,0.49324324324324326,383,87,Female,9045,3.130000114440918,0,0
5041,319,1997-07-11,369000,60,6150,C,1997,63628.9352,700.0,176868.7,375,8976.506666666666,111,264,0.42045454545454547,389,52,Female,9538,1.5099999904632568,0,0
5042,330,1998-07-12,331584,48,6908,C,1998,42138.92325581395,400.0,73943.0,129,9407.519379844962,50,79,0.6329113924050633,403,53,Female,8388,2.4100000858306885,0,0
5043,339,1997-12-25,468060,60,7801,C,1997,65740.40186046512,400.0,141113.9,215,12937.818604651164,57,158,0.36075949367088606,414,79,Female,8369,1.7899999618530273,1,0
5044,344,1994-12-21,100980,60,1683,C,1994,41047.5851758794,600.0,64599.8,398,4626.263819095478,127,271,0.46863468634686345,421,61,Male,9897,1.600000023841858,0,0
5045,347,1995-05-01,187224,24,7801,B,1995,43918.67957559681,-2762.6,142312.3,377,10461.596816976127,149,228,0.6535087719298246,424,79,Male,12541,0.28999999165534973,0,1
5046,349,1998-09-09,42816,12,3568,C,1998,17058.564150943395,1100.0,31616.5,106,3222.0377358490564,50,56,0.8928571428571429,426,89,Male,8994,3.799999952316284,0,0
5051,378,1997-10-11,230400,60,3840,C,1997,68275.65597667638,15099.5,145352.1,343,11448.107871720116,102,241,0.42323651452282157,458,65,Male,9893,4.090000152587891,0,0
5060,426,1994-07-19,252060,60,4201,D,1994,34013.30203160271,-821.0,110028.2,443,7014.187358916479,149,294,0.5068027210884354,512,61,Female,8441,3.450000047683716,0,1
5061,440,1998-03-13,84288,48,1756,C,1998,34324.78206896552,500.0,73640.3,145,5629.275862068966,51,94,0.5425531914893617,530,69,Female,8843,2.819999933242798,0,0
5063,442,1997-07-10,357840,48,7455,D,1997,30341.176623376625,-542.6,94705.2,77,9905.883116883117,33,44,0.75,533,85,Female,9897,1.600000023841858,0,1
5072,472,1997-04-28,196800,24,8200,D,1997,59067.15,-2756.1,130885.1,156,17788.096153846152,53,103,0.5145631067961165,568,66,Female,11277,1.25,0,1
5082,501,1996-10-24,262980,60,4383,C,1996,62892.48739130435,900.0,151035.6,230,10897.904347826086,93,137,0.6788321167883211,603,60,Female,8598,2.7699999809265137,0,0
5086,525,1997-07-16,210384,48,4383,C,1997,45718.62486187846,300.0,124731.3,181,9111.370165745857,73,108,0.6759259259259259,631,70,Female,10177,6.630000114440918,0,0
5088,544,1996-08-22,91152,24,3798,A,1996,53209.85928853755,400.0,110817.6,253,8661.533596837944,98,155,0.632258064516129,655,84,Male,9272,2.799999952316284,1,0
5103,666,1997-11-28,12540,12,1045,A,1997,47391.60328467154,200.0,85808.4,274,3901.1204379562046,77,197,0.39086294416243655,798,86,Female,8561,0.6499999761581421,1,0
5110,675,1997-04-01,102240,60,1704,C,1997,38148.464122137404,900.0,69588.8,262,3769.851145038168,105,157,0.6687898089171974,810,81,Female,8757,3.380000114440918,1,0
5117,718,1997-08-20,76944,12,6412,A,1997,48766.73718411552,500.0,134873.1,277,10002.068592057762,88,189,0.4656084656084656,861,70,Female,12541,0.28999999165534973,1,0
5124,785,1998-02-12,156096,36,4336,C,1998,43839.09056603773,700.0,93801.3,106,8777.443396226416,39,67,0.582089552238806,939,74,Male,9104,1.5099999904632568,0,0
5125,789,1995-11-23,73056,48,1522,C,1995,17903.810238907852,500.0,33555.4,293,2028.665529010239,99,194,0.5103092783505154,944,56,Male,10446,7.340000152587891,0,0
5126,790,1994-07-24,208128,48,4336,B,1994,45725.88233830845,-1069.7,147307.7,402,9258.221393034826,156,246,0.6341463414634146,946,75,Male,9897,1.600000023841858,1,1
5128,808,1996-04-11,215616,48,4492,D,1996,17967.33661971831,-4384.8,50124.8,284,4886.228873239436,126,158,0.7974683544303798,968,69,Male,8173,2.7699999809265137,0,1
5130,813,1994-05-11,24312,12,2026,A,1994,36151.537532133676,1100.0,61338.4,389,4922.285347043702,154,235,0.6553191489361702,976,71,Female,8427,1.1200000047683716,0,0
5131,816,1995-01-08,48624,24,2026,A,1995,70384.00691056911,200.0,153641.2,492,11281.35162601626,182,310,0.5870967741935483,980,65,Male,9317,6.489999771118164,0,0
5132,817,1995-02-17,538500,60,8975,C,1995,31274.961559888576,200.0,69775.9,359,7297.6350974930365,114,245,0.46530612244897956,981,66,Male,9307,3.8499999046325684,0,0
5134,825,1997-02-02,53076,12,4423,A,1997,33836.18617511521,500.0,65121.6,217,5558.460829493088,81,136,0.5955882352941176,992,78,Male,8402,3.130000114440918,1,0
5136,846,1996-07-28,187104,24,7796,A,1996,65280.35758928571,300.0,147681.0,224,12064.642857142857,95,129,0.7364341085271318,1020,49,Female,8994,3.799999952316284,1,0
5138,854,1995-05-30,87216,48,1817,C,1995,26357.173725490196,700.0,52045.8,510,2773.170588235294,128,382,0.33507853403141363,1029,72,Female,12541,0.28999999165534973,0,0
5140,873,1998-02-24,178500,60,2975,C,1998,16957.932653061223,1000.0,39315.6,147,2401.5102040816328,52,95,0.5473684210526316,1051,55,Female,8746,3.3299999237060547,0,0
5145,915,1995-09-16,309552,48,6449,C,1995,51314.37195121951,700.0,121713.2,328,12010.240853658537,100,228,0.43859649122807015,1102,91,Male,8994,3.799999952316284,0,0
5147,938,1998-05-21,22260,60,371,C,1998,30561.883333333335,700.0,37569.6,60,2250.266666666667,30,30,1.0,1130,86,Female,10177,6.630000114440918,0,0
5148,940,1996-05-29,284280,60,4738,C,1996,72549.26610169491,300.0,136560.2,295,13658.084745762711,105,190,0.5526315789473685,1133,68,Female,9065,4.460000038146973,1,0
5151,960,1995-05-24,189060,60,3151,C,1995,55207.88442622951,200.0,137223.1,366,11927.27049180328,104,262,0.3969465648854962,1157,68,Female,9753,4.639999866485596,1,0
5154,993,1998-07-01,108720,60,1812,C,1998,53198.06019417476,1000.0,123601.5,103,11515.844660194174,50,53,0.9433962264150944,1197,60,Female,8546,2.950000047683716,1,0
5158,1004,1998-04-11,188532,36,5237,C,1998,64283.932850241545,200.0,143846.4,207,14632.323671497585,83,124,0.6693548387096774,1208,51,Female,10177,6.630000114440918,0,0
5160,1011,1995-12-18,204000,60,3400,C,1995,57198.18099688474,400.0,99043.8,321,6746.352024922118,105,216,0.4861111111111111,1215,82,Male,8390,2.2799999713897705,0,0
5161,1012,1994-10-28,98184,24,4091,A,1994,39658.84632352941,500.0,78911.4,408,7564.936274509804,177,231,0.7662337662337663,1216,81,Female,8403,5.739999771118164,0,0
5169,1068,1998-09-24,253200,60,4220,C,1998,34913.653846153844,1000.0,96491.4,156,5547.301282051282,48,108,0.4444444444444444,1282,90,Male,8363,2.5199999809265137,0,0
5170,1071,1994-01-20,253200,60,4220,C,1994,47237.25280612245,800.0,133188.2,392,9587.005102040815,152,240,0.6333333333333333,1286,76,Female,8363,2.5199999809265137,0,0
5172,1083,1998-04-16,50976,36,1416,C,1998,26478.714136125658,400.0,48735.9,191,3520.4240837696334,58,133,0.43609022556390975,1300,47,Male,8390,2.2799999713897705,0,0
5174,1093,1997-06-13,385104,48,8023,C,1997,47743.97883817428,1000.0,121006.5,241,14992.041493775934,70,171,0.4093567251461988,1311,70,Female,9897,1.600000023841858,0,0
5176,1106,1994-11-12,192552,24,8023,B,1994,37691.68909574468,-10978.9,153689.1,376,9423.188829787234,146,230,0.6347826086956522,1327,63,Female,8547,2.6500000953674316,0,1
5189,1166,1994-02-07,149040,48,3105,A,1994,37188.17085201794,200.0,64576.5,446,6172.051569506726,140,306,0.45751633986928103,1404,58,Female,9622,0.44999998807907104,0,0
5206,1242,1997-09-07,128544,24,5356,C,1997,51358.89780701754,200.0,135760.5,228,7646.833333333333,68,160,0.425,1499,75,Female,10673,4.75,0,0
5207,1244,1997-02-28,35904,48,748,C,1997,17006.64347826087,900.0,34278.5,253,1528.00395256917,73,180,0.40555555555555556,1501,80,Male,9893,4.090000152587891,0,0
5208,1247,1995-03-16,99696,48,2077,D,1995,54664.762529274005,-974.6,146737.9,427,11397.316159250586,166,261,0.6360153256704981,1505,55,Female,8403,5.739999771118164,0,1
5209,1250,1996-11-25,182640,48,3805,C,1996,27340.06681818182,600.0,64411.8,220,7437.263636363637,67,153,0.43790849673202614,1509,84,Female,8544,1.2899999618530273,0,0
5210,1252,1997-04-01,148140,36,4115,C,1997,42858.70753138075,1000.0,86290.3,239,9037.820083682009,86,153,0.5620915032679739,1511,64,Female,8598,2.7699999809265137,0,0
5212,1256,1995-05-29,71064,36,1974,A,1995,32593.697549019606,700.0,55373.3,408,4560.367647058823,116,292,0.3972602739726027,1516,80,Female,8965,7.079999923706055,0,0
5214,1270,1997-07-01,74772,36,2077,C,1997,22669.76864864865,500.0,45989.0,185,4555.394594594594,65,120,0.5416666666666666,1533,66,Male,8743,1.8799999952316284,0,0
5221,1284,1998-12-05,52512,12,4376,C,1998,59422.65795454546,1000.0,120419.7,88,12399.579545454546,38,50,0.76,1554,82,Male,8743,1.8799999952316284,0,0
5226,1318,1998-10-11,185544,36,5154,C,1998,22301.77090909091,200.0,70887.8,55,6608.927272727273,24,31,0.7741935483870968,1594,87,Male,8772,4.690000057220459,0,0
5229,1329,1997-09-06,23520,12,1960,A,1997,21734.364942528737,500.0,44667.0,174,4087.7471264367814,58,116,0.5,1608,85,Male,8240,2.5299999713897705,0,0
5236,1374,1997-09-15,389136,48,8107,C,1997,55866.62865853658,700.0,126403.5,164,17324.701219512193,55,109,0.5045871559633027,1662,59,Male,8240,2.5299999713897705,0,0
5237,1375,1995-08-29,45336,24,1889,A,1995,51120.45533707865,800.0,93208.5,356,6812.88202247191,115,241,0.47717842323651455,1663,69,Male,8402,3.130000114440918,0,0
5241,1389,1998-09-02,125472,24,5228,C,1998,48762.156097560975,800.0,117375.0,123,10634.130081300813,50,73,0.684931506849315,1681,86,Male,9675,6.429999828338623,0,0
5245,1407,1998-01-17,125472,24,5228,C,1998,76724.87118644068,800.0,143696.8,177,13584.75141242938,69,108,0.6388888888888888,1705,80,Female,8402,3.130000114440918,0,0
5253,1447,1997-06-03,100080,48,2085,C,1997,29445.634126984125,300.0,48704.7,126,4825.579365079365,51,75,0.68,1755,61,Female,8403,5.739999771118164,0,0
5260,1480,1998-01-19,123300,36,3425,C,1998,54669.359375,800.0,132024.9,160,12995.1125,67,93,0.7204301075268817,1793,81,Female,9832,3.319999933242798,1,0
5265,1498,1998-10-07,165780,60,2763,C,1998,45404.1828125,413.3,116112.4,128,9601.2734375,66,62,1.064516129032258,1816,75,Male,8544,1.2899999618530273,0,0
5269,1527,1994-11-19,164052,36,4557,B,1994,36290.09558441558,-3248.2,114080.3,385,9439.6,149,236,0.6313559322033898,1851,51,Female,8930,3.5199999809265137,0,1
5270,1528,1997-07-21,191088,48,3981,C,1997,32548.89057591623,500.0,70985.6,191,6249.591623036649,67,124,0.5403225806451613,1852,64,Male,8187,4.829999923706055,0,0
5281,1580,1997-11-27,194256,24,8094,C,1997,48797.10487804878,400.0,134156.7,205,11374.648780487805,84,121,0.6942148760330579,1913,58,Male,8173,2.7699999809265137,1,0
5282,1583,1996-08-24,388512,48,8094,D,1996,38040.7824925816,-2838.8,137263.4,337,11328.050445103858,140,197,0.7106598984771574,1917,57,Female,8173,2.7699999809265137,0,1
5285,1603,1994-02-06,78936,12,6578,A,1994,30851.414658634538,900.0,69908.5,498,3265.79718875502,196,302,0.6490066225165563,1944,69,Female,8930,3.5199999809265137,0,0
5287,1638,1998-01-26,64224,24,2676,C,1998,40869.68715596331,900.0,92048.9,109,6893.954128440367,48,61,0.7868852459016393,1985,89,Male,8546,2.950000047683716,0,0
5293,1656,1998-10-29,189792,48,3954,C,1998,34987.95531914894,500.0,78411.8,141,8328.290780141844,52,89,0.5842696629213483,2008,86,Male,9538,1.5099999904632568,0,0
5301,1698,1996-07-06,141948,36,3943,C,1996,46630.760377358485,800.0,78138.7,212,6389.679245283019,68,144,0.4722222222222222,2063,76,Female,9893,4.090000152587891,1,0
5304,1718,1998-08-20,172272,24,7178,C,1998,62776.01951219512,300.0,126478.3,82,16405.59756097561,30,52,0.5769230769230769,2083,83,Male,8678,5.929999828338623,0,0
5310,1762,1995-04-28,248148,36,6893,A,1995,30377.204907975458,600.0,67486.0,489,5145.803680981595,127,362,0.35082872928176795,2136,86,Female,8594,1.6200000047683716,0,0
5311,1766,1996-06-15,30060,60,501,C,1996,28682.556548856548,500.0,69382.9,481,4552.484407484408,106,375,0.2826666666666667,2141,75,Male,8594,1.6200000047683716,1,0
5312,1772,1996-03-13,202788,36,5633,C,1996,67773.61067073171,1100.0,151677.1,328,14742.362804878048,98,230,0.4260869565217391,2148,73,Female,8930,3.5199999809265137,0,0
5313,1776,1998-05-27,43200,24,1800,C,1998,39554.057,400.0,62263.4,100,4701.74,35,65,0.5384615384615384,2153,77,Female,9198,3.3299999237060547,0,0
5314,1787,1993-07-05,96396,12,8033,B,1993,44456.03466334164,-568.3,136813.2,401,10222.256857855362,153,248,0.6169354838709677,2166,79,Female,9650,3.380000114440918,0,1
5316,1801,1993-07-11,165960,36,4610,A,1993,43134.7039745628,700.0,148809.0,629,7372.116057233704,185,444,0.4166666666666667,2181,58,Male,8369,1.7899999618530273,0,0
5318,1808,1998-09-30,385584,48,8033,C,1998,70287.26836734694,400.0,156591.5,98,12392.908163265307,46,52,0.8846153846153846,2190,52,Male,8594,1.6200000047683716,0,0
5319,1811,1994-06-23,239460,60,3991,C,1994,34947.02226980728,300.0,80437.5,467,7192.271948608137,141,326,0.4325153374233129,2195,84,Female,9893,4.090000152587891,0,0
5320,1819,1998-01-11,143676,36,3991,C,1998,50487.97692307693,700.0,125319.0,182,8469.247252747253,64,118,0.5423728813559322,2205,74,Male,8743,1.8799999952316284,0,0
5325,1843,1993-08-03,105804,36,2939,A,1993,35687.445,1000.0,71457.6,460,6005.091304347826,151,309,0.4886731391585761,2235,86,Female,10045,1.4199999570846558,1,0
5329,1862,1996-10-16,396120,60,6602,C,1996,59605.02197802198,500.0,120872.0,273,13888.794871794871,93,180,0.5166666666666667,2259,76,Female,8402,3.130000114440918,1,0
5332,1869,1998-01-29,37944,36,1054,C,1998,67674.44523809524,500.0,100074.6,168,9093.684523809523,60,108,0.5555555555555556,2267,60,Female,12541,0.28999999165534973,1,0
5334,1876,1998-09-10,209040,24,8710,C,1998,45895.525555555556,900.0,74276.7,90,6546.377777777778,33,57,0.5789473684210527,2277,47,Male,12541,0.28999999165534973,1,0
5337,1886,1996-07-31,162468,36,4513,C,1996,30560.658653846152,700.0,83862.8,208,9451.913461538461,68,140,0.4857142857142857,2288,69,Female,9272,2.799999952316284,0,0
5338,1888,1997-08-30,57360,12,4780,B,1997,28115.960816326533,-5851.2,78725.3,245,6835.889795918368,80,165,0.48484848484848486,2291,69,Male,8546,2.950000047683716,0,1
5343,1906,1997-10-08,44952,24,1873,C,1997,50158.59056603773,1000.0,127317.0,212,8205.551886792453,66,146,0.4520547945205479,2316,56,Male,12541,0.28999999165534973,0,0
5346,1928,1998-12-06,55632,24,2318,C,1998,29936.964655172414,500.0,56989.7,116,6135.974137931034,51,65,0.7846153846153846,2342,78,Male,10177,6.630000114440918,0,0
5350,1967,1996-04-21,249312,48,5194,C,1996,45676.82274247491,900.0,145941.6,299,12064.073578595318,119,180,0.6611111111111111,2392,71,Male,10787,2.640000104904175,0,0
5351,1978,1994-12-04,205200,36,5700,A,1994,56224.86245551601,900.0,105025.5,562,8646.88078291815,134,428,0.3130841121495327,2403,63,Female,12541,0.28999999165534973,0,0
5352,1993,1995-04-15,68400,12,5700,B,1995,33304.567219917015,-4293.5,124296.6,241,8950.435684647304,96,145,0.6620689655172414,2422,50,Female,9893,4.090000152587891,0,1
5354,2000,1998-07-14,290820,60,4847,C,1998,48711.32362204724,900.0,76259.4,127,5172.330708661418,35,92,0.3804347826086957,2430,89,Male,9307,3.8499999046325684,1,0
5358,2018,1997-01-21,38520,12,3210,A,1997,17774.55909090909,900.0,31302.0,242,2332.561983471074,110,132,0.8333333333333334,2451,87,Male,8388,2.4100000858306885,0,0
5360,2035,1998-01-25,176328,36,4898,C,1998,50395.54234875445,400.0,92533.9,281,6972.964412811388,66,215,0.30697674418604654,2470,83,Male,8240,2.5299999713897705,0,0
5363,2051,1997-04-22,293880,60,4898,D,1997,54236.27716894977,-2804.8,132818.3,219,12506.762557077625,91,128,0.7109375,2489,51,Female,9624,1.600000023841858,1,1
5365,2055,1998-07-19,271260,60,4521,C,1998,13372.613265306123,488.6,36763.1,98,4698.989795918367,43,55,0.7818181818181819,2494,55,Male,9065,4.460000038146973,0,0
5366,2062,1996-10-29,86184,12,7182,A,1996,47248.15113636364,300.0,128146.0,264,11787.314393939394,70,194,0.36082474226804123,2501,86,Female,10177,6.630000114440918,1,0
5367,2064,1997-08-26,83628,36,2323,C,1997,26531.708661417324,500.0,51781.0,127,5524.433070866142,49,78,0.6282051282051282,2503,49,Female,9897,1.600000023841858,0,0
5368,2073,1998-10-05,44640,24,1860,C,1998,40723.612345679016,600.0,65663.5,81,7094.098765432099,33,48,0.6875,2514,69,Male,8444,3.240000009536743,0,0
5369,2080,1997-09-12,214596,36,5961,C,1997,63609.504724409446,400.0,130060.2,127,16481.803149606298,40,87,0.45977011494252873,2522,89,Male,10673,4.75,1,0
5375,2106,1996-10-03,101520,12,8460,A,1996,22367.105978260868,400.0,44042.3,184,5034.603260869565,71,113,0.6283185840707964,2550,50,Female,12541,0.28999999165534973,0,0
5377,2116,1997-08-04,92400,12,7700,A,1997,42219.35909090909,1000.0,131664.2,220,7212.722727272727,75,145,0.5172413793103449,2560,52,Female,10177,6.630000114440918,1,0
5382,2134,1997-03-17,22932,36,637,C,1997,40261.18866995074,300.0,63756.9,203,3753.5714285714284,59,144,0.4097222222222222,2581,73,Female,8363,2.5199999809265137,0,0
5384,2142,1998-03-07,23328,12,1944,C,1998,37871.98977272728,1000.0,68151.2,88,7186.045454545455,35,53,0.660377358490566,2590,62,Female,8388,2.4100000858306885,0,0
5385,2143,1996-09-09,71460,36,1985,C,1996,33995.77256637168,700.0,76403.1,226,7547.831858407079,71,155,0.45806451612903226,2592,46,Female,12541,0.28999999165534973,1,0
5388,2153,1996-11-28,61560,12,5130,A,1996,33350.495604395604,200.0,80324.5,273,8596.652014652014,72,201,0.3582089552238806,2606,83,Male,8930,3.5199999809265137,1,0
5389,2165,1997-08-22,78600,24,3275,C,1997,29949.263414634144,800.0,67336.0,123,7522.544715447155,51,72,0.7083333333333334,2621,70,Male,8541,2.509999990463257,0,0
5390,2167,1994-10-30,170256,24,7094,A,1994,55408.34767726161,200.0,109497.3,409,8172.78239608802,132,277,0.47653429602888087,2623,61,Female,8427,1.1200000047683716,1,0
5395,2176,1994-07-30,299088,36,8308,B,1994,34860.07324840764,-4986.0,193909.9,471,8654.56475583864,148,323,0.4582043343653251,2635,60,Female,8110,5.769999980926514,0,1
5398,2187,1997-11-04,53472,12,4456,A,1997,65006.56529680366,300.0,172962.5,219,13475.223744292238,92,127,0.7244094488188977,2647,86,Male,8899,3.390000104904175,0,0
5409,2218,1995-11-18,182040,60,3034,C,1995,69279.01049180327,600.0,132798.2,305,14361.632786885246,101,204,0.4950980392156863,2686,75,Female,8402,3.130000114440918,1,0
5413,2227,1995-12-12,92976,24,3874,A,1995,62752.57398568019,300.0,151021.2,419,13035.5584725537,172,247,0.6963562753036437,2698,56,Female,8930,3.5199999809265137,1,0
5414,2228,1995-03-29,185952,48,3874,C,1995,46759.30873239436,700.0,145318.2,355,9055.802816901409,127,228,0.5570175438596491,2700,81,Male,9675,6.429999828338623,0,0
5415,2236,1996-09-26,139464,36,3874,D,1996,22738.484210526316,-5608.4,70194.9,171,7644.122807017544,68,103,0.6601941747572816,2708,68,Male,8746,3.3299999237060547,0,1
5418,2245,1995-01-16,347952,48,7249,C,1995,64841.79603960396,300.0,162028.1,404,11861.794554455446,166,238,0.6974789915966386,2719,62,Female,8843,2.819999933242798,0,0
5419,2246,1997-02-05,415800,60,6930,C,1997,45810.86951871657,700.0,140706.0,187,12877.55614973262,79,108,0.7314814814814815,2720,77,Female,12541,0.28999999165534973,0,0
5420,2247,1997-02-24,72504,24,3021,C,1997,40690.539799331105,600.0,145620.3,299,5399.026755852843,71,228,0.31140350877192985,2721,76,Female,8991,1.3899999856948853,0,0
5428,2262,1998-12-02,230220,36,6395,C,1998,64939.648101265826,200.0,141146.2,158,15706.848101265823,67,91,0.7362637362637363,2739,76,Male,8598,2.7699999809265137,1,0
5429,2268,1996-07-18,20196,36,561,C,1996,55203.627368421054,200.0,82258.5,285,8108.554385964912,92,193,0.47668393782383417,2746,55,Male,12541,0.28999999165534973,0,0
5435,2279,1998-06-01,314688,48,6556,C,1998,56447.22328767123,600.0,102147.7,146,14879.349315068494,53,93,0.5698924731182796,2759,52,Male,8507,1.6699999570846558,1,0
5445,2322,1996-06-29,46320,24,1930,A,1996,45567.08801742919,900.0,148001.6,459,6825.165577342048,115,344,0.33430232558139533,2809,47,Male,8705,5.75,0,0
5446,2334,1997-08-04,48312,24,2013,C,1997,32637.21408450704,600.0,59866.6,213,5462.30985915493,92,121,0.7603305785123967,2822,68,Male,8187,4.829999923706055,0,0
5447,2335,1997-11-12,541200,60,9020,D,1997,6855.413931888545,-17030.4,51160.5,323,3177.9102167182664,96,227,0.42290748898678415,2823,80,Female,10177,6.630000114440918,0,1
5449,2343,1995-11-04,99336,24,4139,A,1995,39086.19271523179,300.0,61839.4,302,4175.261589403974,116,186,0.6236559139784946,2831,46,Female,9893,4.090000152587891,0,0
5450,2345,1994-12-11,199680,60,3328,C,1994,32843.15778894473,500.0,62238.8,398,6708.316582914573,126,272,0.4632352941176471,2834,77,Male,8363,2.5199999809265137,0,0
5451,2350,1997-05-11,159744,48,3328,C,1997,51598.62731958763,600.0,115356.1,194,10752.175257731958,67,127,0.5275590551181102,2841,53,Female,8968,2.8299999237060547,1,0
5452,2352,1996-04-29,49440,60,824,C,1996,53086.551378446115,300.0,86463.1,399,5104.741854636592,97,302,0.3211920529801324,2843,60,Female,10177,6.630000114440918,0,0
5453,2361,1995-04-01,156672,36,4352,A,1995,19752.194794520547,500.0,41876.9,365,3259.0986301369862,158,207,0.7632850241545893,2853,70,Female,8594,1.6200000047683716,0,0
5463,2413,1998-10-06,17952,12,1496,C,1998,31370.778378378378,500.0,57469.1,74,6218.5,31,43,0.7209302325581395,2915,72,Female,8705,5.75,0,0
5464,2419,1995-01-30,95808,12,7984,A,1995,66220.65576923077,900.0,162567.2,416,14435.966346153846,181,235,0.7702127659574468,2922,86,Male,9425,1.7200000286102295,0,0
5469,2445,1997-12-26,293160,60,4886,C,1997,54772.14402173913,800.0,135318.2,184,13563.891304347826,81,103,0.7864077669902912,2952,48,Female,8363,2.5199999809265137,0,0
5470,2456,1996-04-15,200976,48,4187,C,1996,40904.63129770992,600.0,83553.5,262,8778.675572519083,97,165,0.5878787878787879,2966,71,Male,8403,5.739999771118164,0,0
5479,2486,1994-01-10,24516,12,2043,A,1994,55811.535902255644,200.0,154473.0,532,12974.447368421053,197,335,0.5880597014925373,3001,68,Male,12541,0.28999999165534973,0,0
5482,2496,1996-01-12,165120,60,2752,C,1996,21486.720253164556,1100.0,37946.3,316,3180.784810126582,128,188,0.6808510638297872,3013,76,Female,8541,2.509999990463257,0,0
5486,2516,1997-06-13,466608,48,9721,C,1997,42993.78468899521,300.0,78770.3,209,6556.622009569378,83,126,0.6587301587301587,3038,80,Female,8546,2.950000047683716,0,0
5491,2545,1998-02-13,428784,48,8933,C,1998,19471.585340314134,1100.0,47281.2,191,3662.696335078534,68,123,0.5528455284552846,3072,90,Male,12541,0.28999999165534973,0,0
5494,2572,1996-06-13,360000,48,7500,C,1996,59792.74059139785,600.0,137506.4,372,14102.583333333334,150,222,0.6756756756756757,3103,53,Female,9624,1.600000023841858,0,0
5495,2580,1996-08-02,89340,60,1489,C,1996,53339.68780487805,500.0,90243.4,246,4149.951219512195,91,155,0.5870967741935483,3113,55,Female,8441,3.450000047683716,0,0
5501,2622,1998-05-21,136344,24,5681,C,1998,34123.68409090909,300.0,57858.4,176,4870.568181818182,77,99,0.7777777777777778,3163,62,Female,12541,0.28999999165534973,0,0
